date,gas
1/5/2004,1.51
1/12/2004,1.56
1/19/2004,1.595
1/26/2004,1.622
2/2/2004,1.616
2/9/2004,1.638
2/16/2004,1.648
2/23/2004,1.688
3/1/2004,1.717
3/8/2004,1.738
3/15/2004,1.724
3/22/2004,1.743
3/29/2004,1.758
4/5/2004,1.78
4/12/2004,1.786
4/19/2004,1.813
4/26/2004,1.812
5/3/2004,1.844
5/10/2004,1.941
5/17/2004,2.017
5/24/2004,2.064
5/31/2004,2.051
6/7/2004,2.034
6/14/2004,1.985
6/21/2004,1.937
6/28/2004,1.921
7/5/2004,1.895
7/12/2004,1.917
7/19/2004,1.928
7/26/2004,1.905
8/2/2004,1.888
8/9/2004,1.877
8/16/2004,1.875
8/23/2004,1.884
8/30/2004,1.866
9/6/2004,1.85
9/13/2004,1.846
9/20/2004,1.866
9/27/2004,1.917
10/4/2004,1.938
10/11/2004,1.993
10/18/2004,2.035
10/25/2004,2.032
11/1/2004,2.034
11/8/2004,2.001
11/15/2004,1.969
11/22/2004,1.948
11/29/2004,1.945
12/6/2004,1.911
12/13/2004,1.847
12/20/2004,1.815
12/27/2004,1.791
1/3/2005,1.778
1/10/2005,1.793
1/17/2005,1.819
1/24/2005,1.853
1/31/2005,1.911
2/7/2005,1.909
2/14/2005,1.898
2/21/2005,1.905
2/28/2005,1.928
3/7/2005,1.999
3/14/2005,2.056
3/21/2005,2.109
3/28/2005,2.153
4/4/2005,2.217
4/11/2005,2.28
4/18/2005,2.237
4/25/2005,2.236
5/2/2005,2.235
5/9/2005,2.186
5/16/2005,2.163
5/23/2005,2.125
5/30/2005,2.097
6/6/2005,2.116
6/13/2005,2.13
6/20/2005,2.161
6/27/2005,2.215
7/4/2005,2.226
7/11/2005,2.328
7/18/2005,2.317
7/25/2005,2.289
8/1/2005,2.291
8/8/2005,2.368
8/15/2005,2.55
8/22/2005,2.612
8/29/2005,2.61
9/5/2005,3.069
9/12/2005,2.955
9/19/2005,2.786
9/26/2005,2.803
10/3/2005,2.928
10/10/2005,2.848
10/17/2005,2.725
10/24/2005,2.603
10/31/2005,2.48
11/7/2005,2.376
11/14/2005,2.296
11/21/2005,2.201
11/28/2005,2.154
12/5/2005,2.147
12/12/2005,2.185
12/19/2005,2.211
12/26/2005,2.197
1/2/2006,2.238
1/9/2006,2.327
1/16/2006,2.32
1/23/2006,2.336
1/30/2006,2.357
2/6/2006,2.342
2/13/2006,2.284
2/20/2006,2.24
2/27/2006,2.254
3/6/2006,2.331
3/13/2006,2.366
3/20/2006,2.504
3/27/2006,2.498
4/3/2006,2.588
4/10/2006,2.683
4/17/2006,2.783
4/24/2006,2.914
5/1/2006,2.919
5/8/2006,2.909
5/15/2006,2.947
5/22/2006,2.892
5/29/2006,2.867
6/5/2006,2.892
6/12/2006,2.906
6/19/2006,2.871
6/26/2006,2.869
7/3/2006,2.934
7/10/2006,2.973
7/17/2006,2.989
7/24/2006,3.003
7/31/2006,3.004
8/7/2006,3.038
8/14/2006,3
8/21/2006,2.924
8/28/2006,2.845
9/4/2006,2.727
9/11/2006,2.618
9/18/2006,2.497
9/25/2006,2.378
10/2/2006,2.31
10/9/2006,2.261
10/16/2006,2.226
10/23/2006,2.208
10/30/2006,2.218
11/6/2006,2.2
11/13/2006,2.232
11/20/2006,2.239
11/27/2006,2.246
12/4/2006,2.297
12/11/2006,2.293
12/18/2006,2.32
12/25/2006,2.341
1/1/2007,2.334
1/8/2007,2.306
1/15/2007,2.229
1/22/2007,2.165
1/29/2007,2.165
2/5/2007,2.191
2/12/2007,2.241
2/19/2007,2.296
2/26/2007,2.383
3/5/2007,2.505
3/12/2007,2.559
3/19/2007,2.577
3/26/2007,2.61
4/2/2007,2.707
4/9/2007,2.802
4/16/2007,2.876
4/23/2007,2.869
4/30/2007,2.971
5/7/2007,3.054
5/14/2007,3.103
5/21/2007,3.218
5/28/2007,3.209
6/4/2007,3.157
6/11/2007,3.076
6/18/2007,3.009
6/25/2007,2.982
7/2/2007,2.959
7/9/2007,2.981
7/16/2007,3.049
7/23/2007,2.958
7/30/2007,2.876
8/6/2007,2.838
8/13/2007,2.771
8/20/2007,2.785
8/27/2007,2.749
9/3/2007,2.796
9/10/2007,2.818
9/17/2007,2.787
9/24/2007,2.812
10/1/2007,2.788
10/8/2007,2.77
10/15/2007,2.762
10/22/2007,2.823
10/29/2007,2.872
