date,un
1/1/2004,5.7
2/1/2004,5.6
3/1/2004,5.8
4/1/2004,5.6
5/1/2004,5.6
6/1/2004,5.6
7/1/2004,5.5
8/1/2004,5.4
9/1/2004,5.4
10/1/2004,5.5
11/1/2004,5.4
12/1/2004,5.4
1/1/2005,5.3
2/1/2005,5.4
3/1/2005,5.2
4/1/2005,5.2
5/1/2005,5.1
6/1/2005,5
7/1/2005,5
8/1/2005,4.9
9/1/2005,5
10/1/2005,5
11/1/2005,5
12/1/2005,4.9
1/1/2006,4.7
2/1/2006,4.8
3/1/2006,4.7
4/1/2006,4.7
5/1/2006,4.6
6/1/2006,4.6
7/1/2006,4.7
8/1/2006,4.7
9/1/2006,4.5
10/1/2006,4.4
11/1/2006,4.5
12/1/2006,4.4
1/1/2007,4.6
2/1/2007,4.5
3/1/2007,4.4
4/1/2007,4.5
5/1/2007,4.4
6/1/2007,4.6
7/1/2007,4.7
8/1/2007,4.6
9/1/2007,4.7
10/1/2007,4.7
11/1/2007,4.7
12/1/2007,5
1/1/2008,5
2/1/2008,4.9
3/1/2008,5.1
4/1/2008,5
5/1/2008,5.4
6/1/2008,5.6
7/1/2008,5.8
8/1/2008,6.1
9/1/2008,6.1
10/1/2008,6.5
11/1/2008,6.8
12/1/2008,7.3
1/1/2009,7.8
2/1/2009,8.3
3/1/2009,8.7
4/1/2009,9
5/1/2009,9.4
6/1/2009,9.5
7/1/2009,9.5
8/1/2009,9.6
9/1/2009,9.8
10/1/2009,10
11/1/2009,9.9
12/1/2009,9.9
1/1/2010,9.8
2/1/2010,9.8
3/1/2010,9.9
4/1/2010,9.9
5/1/2010,9.6
6/1/2010,9.4
7/1/2010,9.4
8/1/2010,9.5
9/1/2010,9.5
10/1/2010,9.4
11/1/2010,9.8
12/1/2010,9.3
1/1/2011,9.1
2/1/2011,9
3/1/2011,9
4/1/2011,9.1
5/1/2011,9
6/1/2011,9.1
7/1/2011,9
8/1/2011,9
9/1/2011,9
10/1/2011,8.8
11/1/2011,8.6
12/1/2011,8.5
1/1/2012,8.3
2/1/2012,8.3
3/1/2012,8.2
4/1/2012,8.2
5/1/2012,8.2
6/1/2012,8.2
7/1/2012,8.2
8/1/2012,8.1
9/1/2012,7.8
10/1/2012,7.8
11/1/2012,7.7
12/1/2012,7.9
